@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
2,2,395161,1644913
2,1,390468,1644914
2,2,399048,1644917
2,1,394667,1644918
2,1,379979,1644920
2,1,2215293,1644922
2,2,384451,1644925
3,1,744545,1644926
3,3,-1,1644931
3,1,304447,1644932
4,2,1116059,1644936
4,1,-1,1644939
4,1,-1,1644943
4,2,395409,1644948
4,3,391050,1644953
4,2,744554,1644956
4,3,-1,1644961
4,4,-1,1644981
4,4,-1,1644985
4,2,388258,1644987
4,4,-1,1644993
4,4,395384,1644997
3,1,-1,1645008
8,3,-1,1645013
8,3,-1,1645043
8,8,-1,1645056
8,7,-1,1645063
9,6,-1,1645070
9,3,-1,1645076
9,2,368694,1645084
6,5,1115352,1645140
6,3,-1,1645144
6,1,-1,1645148
6,5,-1,1645158
6,4,368628,1645163
6,3,-1,1645168
5,1,-1,1645172
5,1,-1,1645177
5,5,306579,1645186
4,3,-1,1645189
4,2,-1,1647697
4,1,-1,1647700
4,3,379331,1647706
4,3,-1,1647710
4,1,-1,1647712
3,1,-1,1647716
3,3,368151,1647721
3,2,399400,1647723
3,2,389220,1647726
3,2,387558,1647729
3,1,399636,1647731
3,2,361363,1647735
3,3,393952,1647739
3,3,-1,1647776
3,3,-1,1647779
3,1,-1,1647780
2,2,392327,1647784
2,1,390078,1647785
2,2,302044,1647788
2,2,306100,1647790
2,1,332997,1647791
